trade_date,symbol,company_name,sector,open_price,high_price,low_price,close_price,Volume,turnover,market_cap
14-07-2003,MARUTI,Maruti Suzuki India Ltd,Automobile,174.25,179.25,174.25,177.95,5982324,106000000000000.00,0.3258
15-07-2003,MARUTI,Maruti Suzuki India Ltd,Automobile,200,200,173,176.2,6173689,109000000000000.00,0.2118
16-07-2003,MARUTI,Maruti Suzuki India Ltd,Automobile,176.45,179.1,175.35,177.1,3759085,66800000000000.00,0.3074
17-07-2003,MARUTI,Maruti Suzuki India Ltd,Automobile,177.5,178,170.65,172.2,3814181,66900000000000.00,0.279
18-07-2003,MARUTI,Maruti Suzuki India Ltd,Automobile,165,171.9,160,167.4,5375212,90100000000000.00,0.2657
21-07-2003,MARUTI,Maruti Suzuki India Ltd,Automobile,169,169.4,163.05,164.9,3315845,55300000000000.00,0.2957
22-07-2003,MARUTI,Maruti Suzuki India Ltd,Automobile,164,169.15,162.1,167.25,4627992,76400000000000.00,0.2716
23-07-2003,MARUTI,Maruti Suzuki India Ltd,Automobile,170.5,178,169.8,174.7,13262249,231000000000000.00,0.2145
24-07-2003,MARUTI,Maruti Suzuki India Ltd,Automobile,175.9,177,172.85,174.1,4305936,75100000000000.00,0.2273
25-07-2003,MARUTI,Maruti Suzuki India Ltd,Automobile,174.4,175,172.1,173.65,2832967,49200000000000.00,0.233
28-07-2003,MARUTI,Maruti Suzuki India Ltd,Automobile,188,188,175.1,178.85,5415867,96400000000000.00,0.2932
29-07-2003,MARUTI,Maruti Suzuki India Ltd,Automobile,179.95,182.9,179.1,180.3,5229181,94600000000000.00,0.2034
30-07-2003,MARUTI,Maruti Suzuki India Ltd,Automobile,181.25,184.75,180.1,181.1,4632246,84600000000000.00,0.2224
31-07-2003,MARUTI,Maruti Suzuki India Ltd,Automobile,181.7,183.65,179.65,180.85,3562717,64800000000000.00,0.3015
01-08-2003,MARUTI,Maruti Suzuki India Ltd,Automobile,182,189,178.75,187.15,8027285,148000000000000.00,0.2571
04-08-2003,MARUTI,Maruti Suzuki India Ltd,Automobile,187.85,198.5,185,197.6,9982429,194000000000000.00,0.2698
05-08-2003,MARUTI,Maruti Suzuki India Ltd,Automobile,199,203.45,192.85,193.6,9651327,191000000000000.00,0.1679
06-08-2003,MARUTI,Maruti Suzuki India Ltd,Automobile,191.5,197.5,189.85,191.6,7451054,144000000000000.00,0.1298
07-08-2003,MARUTI,Maruti Suzuki India Ltd,Automobile,193.5,196,192.25,195.4,3223676,62600000000000.00,0.1196
08-08-2003,MARUTI,Maruti Suzuki India Ltd,Automobile,197,198.9,196,197.15,2530289,49900000000000.00,0.173
11-08-2003,MARUTI,Maruti Suzuki India Ltd,Automobile,198.1,203.8,196,202.2,5651311,114000000000000.00,0.224
12-08-2003,MARUTI,Maruti Suzuki India Ltd,Automobile,203.8,212,203.5,210.45,8215213,171000000000000.00,0.2682
13-08-2003,MARUTI,Maruti Suzuki India Ltd,Automobile,213,219.5,212,217.8,7839204,169000000000000.00,0.2426
14-08-2003,MARUTI,Maruti Suzuki India Ltd,Automobile,223,224.4,215,216.55,6298655,139000000000000.00,0.2151
18-08-2003,MARUTI,Maruti Suzuki India Ltd,Automobile,218.1,221,215.4,216.9,3382031,73700000000000.00,0.1808
19-08-2003,MARUTI,Maruti Suzuki India Ltd,Automobile,219.85,219.9,215,215.65,3080091,66700000000000.00,0.3472
20-08-2003,MARUTI,Maruti Suzuki India Ltd,Automobile,217.4,226.45,217.3,225,6049174,135000000000000.00,0.2216
21-08-2003,MARUTI,Maruti Suzuki India Ltd,Automobile,227,228.9,223.3,227.95,4012069,91100000000000.00,0.269
22-08-2003,MARUTI,Maruti Suzuki India Ltd,Automobile,228.05,232.8,225.9,229.3,4436016,102000000000000.00,0.2061
25-08-2003,MARUTI,Maruti Suzuki India Ltd,Automobile,230,231.45,216.1,221.05,4827198,107000000000000.00,0.2882
26-08-2003,MARUTI,Maruti Suzuki India Ltd,Automobile,217,235,217,232.45,3968069,90800000000000.00,0.2435
27-08-2003,MARUTI,Maruti Suzuki India Ltd,Automobile,235.4,237.6,233,234.3,2267859,53400000000000.00,0.2178
28-08-2003,MARUTI,Maruti Suzuki India Ltd,Automobile,235.75,235.75,226,228.05,3554363,81500000000000.00,0.3062
29-08-2003,MARUTI,Maruti Suzuki India Ltd,Automobile,232.05,238.5,231.5,235.4,3212067,75600000000000.00,0.2957
01-09-2003,MARUTI,Maruti Suzuki India Ltd,Automobile,236.4,237,231.7,235.55,2478236,58200000000000.00,0.3015
02-09-2003,MARUTI,Maruti Suzuki India Ltd,Automobile,234.85,234.85,224.1,226.55,3975812,90200000000000.00,0.3525
